TEMEL BILGILER - Baslik;TEMEL BILGILER - Arac Turu;TEMEL BILGILER - Govde Tipi;TEMEL BILGILER - Segment;TEMEL BILGILER - Marka;TEMEL BILGILER - Seri;TEMEL BILGILER - Model;TEMEL BILGILER - Donanim Paketi;TEMEL BILGILER - Model Yili;TEMEL BILGILER - Uretim Ulkesi;MOTOR - Yakit Turu;MOTOR - Yakit Tipi;MOTOR - Motor Tipi;MOTOR (Fosil Yakit) - Besleme Tipi;MOTOR (Fosil Yakit) - Silindir Adedi;MOTOR (Fosil Yakit) - Silindir Hacmi;MOTOR (Fosil Yakit) - Yakit Puskurtme;MOTOR (Elektrik) - Motor Gucu;MOTOR (Elektrik) - Batarya Kapasitesi;MOTOR (Elektrik) - Batarya Tipi;SANZIMAN - Sanziman Turu;SANZIMAN - Sanziman Modeli;SANZIMAN - Vites Sayisi;PERFORMANS - PERFORMANS PUANI;PERFORMANS - Beygir Gucu;PERFORMANS - Azami Tork;PERFORMANS - Azami Hiz;PERFORMANS - 0-100 Km Hizlanma;CEKIS SISTEMI - Cekis Turu;CEKIS SISTEMI - Cekis Kontrol Sistemi;BOYUTLAR - KONFOR PUANI;BOYUTLAR - Ic Hacim;BOYUTLAR - Uzunluk;BOYUTLAR - Genislik;BOYUTLAR - Yukseklik;BOYUTLAR - Ağirlik;BOYUTLAR - Bagaj Hacmi (Standart);BOYUTLAR - Bagaj Hacmi (Genisletilmis);LASTIK & JANT - Lastik Ebatlari;LASTIK & JANT - Jant Capi;LASTIK & JANT - Kesit Orani;LASTIK & JANT - Taban Genisliği;DIS DONANIM - Kapi Sayisi;DIS DONANIM- Far Tipi;DIS DONANIM- Sis Farlari;IC DONANIM - Koltuk Sayisi;IC DONANIM - Doseme Tipi;IC DONANIM - Surucu Koltuğu Ayarlari;IC DONANIM - On Yolcu Koltuğu Ayarlari;IC DONANIM - Klima;SENSORLER - Far Sensoru;SENSORLER - Yağmur Sensoru;SENSORLER - Lastik Basinc Sensoru;SENSORLER - Park Sensoru & Yardimcisi;GUVENLIK - GUVEN PUANI;GUVENLIK - Hava Yastiği Adedi;GUVENLIK - NCAP/ANCAP Puani;EKONOMI - EKO PUANI;EKONOMI - Tahmini Bakim Masrafi;EKONOMI - Yillik MTV Tutari;EKONOMI - Ortalama Yakit Tuketimi (100 km);EKONOMI - Sehir Ici Tuketim (100 km);EKONOMI - Sehir Disi Tuketim (100 km);EKONOMI (Fosil Yakit) - Yakit Kapasitesi (lt);EKONOMI (Elektrik) - Menzil (WLTP - Birlesik);EKONOMI (Elektrik) - Menzil (WLTP - Sehir Ici);EKONOMI (Elektrik) - Sarj Suresi;EMISYON - Emisyon Standardi;EMISYON - Ortalama Emisyon
Toyota Camry Hibrit 2.5 218 HP e-CVT Passion;Binek;Sedan;D;Toyota;Camry;Camry;Passion;2019;Japonya;Fosil Yakit;Benzin & Elektrik;HEV (Benzinli & Elektrikli);Elektrik;4;Elektrik;Elektrik;;;;Otomatik;e-CVT;Kademesiz;69;218;423;180;8,3;Onden Cekisli;Var;85;78;4885;1840;1445;1670;524;Koltuklar Katlanmiyor;235/45 R18;18;45%;235;5;LED;Var;5;Deri;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Var;117;7;5;69;85;6664;4,64;4,8;4,2;50;;;;EURO 6;98
Volkswagen Caravelle 2.0 TDI 150 PS DSG Comfortline (8+1 Uzun);Ticari;Minibus;Hafif Ticari;Volkswagen;Caravelle;Caravelle;Comfortline;2018;Almanya;Fosil Yakit;Dizel;Icten Yanmali (Standart);Degisken Geometrili Turbo;4;1968;Common Rail Direkt Enjeksiyon;;;;Otomatik;DSG (YO);7 ileri;54;150;340;181;12;Onden Cekisli;Var;89;121;5304;1904;1990;1784;1200;5800;215/65 R16;16;65%;215;5;LED;Var;9;Kumas;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Var;97;2;5;38;72;11674;6,77;7,2;5,9;70;;;;EURO 6;166
Volkswagen Caravelle 2.0 TDI 150 PS DSG Comfortline (8+1);Ticari;Minibus;Hafif Ticari;Volkswagen;Caravelle;Caravelle;Comfortline;2018;Almanya;Fosil Yakit;Dizel;Icten Yanmali (Standart);Degisken Geometrili Turbo;4;1968;Common Rail Direkt Enjeksiyon;;;;Otomatik;DSG (YO);7 ileri;53;150;340;181;12;Onden Cekisli;Var;88;110;4904;1904;1970;1892;580;5800;215/65 R16;16;65%;215;5;LED;Var;9;Kumas;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Var;97;2;5;38;72;11674;6,92;7,4;6;70;;;;EURO 6;169
Volkswagen Caravelle 2.0 TDI 150 PS DSG Team (8+1 Uzun);Ticari;Minibus;Hafif Ticari;Volkswagen;Caravelle;Caravelle;Team;2018;Almanya;Fosil Yakit;Dizel;Icten Yanmali (Standart);Degisken Geometrili Turbo;4;1968;Common Rail Direkt Enjeksiyon;;;;Otomatik;DSG (YO);7 ileri;54;150;340;181;12;Onden Cekisli;Var;89;121;5304;1904;1990;1784;1200;5800;215/65 R16;16;65%;215;5;LED;Var;9;Kumas;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Var;97;2;5;38;72;11674;6,77;7,2;5,9;70;;;;EURO 6;166
Volkswagen Caravelle 2.0 TDI 204 PS DSG Highline (8+1 Uzun);Ticari;Minibus;Hafif Ticari;Volkswagen;Caravelle;Caravelle;Highline;2018;Almanya;Fosil Yakit;Dizel;Icten Yanmali (Standart);Degisken Geometrili Turbo;4;1968;Common Rail Direkt Enjeksiyon;;;;Otomatik;DSG (YO);7 ileri;67;204;450;203;9,1;Onden Cekisli;Var;94;121;5304;1904;1990;1927;580;9300;235/55 R17;17;55%;235;5; Halojen; Var;9;Kumas;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Var;98;2;5;32;69;11674;7,61;8,6;6,1;70;;;;EURO 6;183
Porsche Cayenne Turbo 4.8 520 HP Tiptronic S (4x4);SUV;SUV;E;Porsche;Cayenne;Cayenne;Standart;2014, 2015, 2016;Almanya;Fosil Yakit;Benzin;Icten Yanmali (Standart);Cift Turbo;8;4806;Cok Noktadan Enjeksiyon;;;;Otomatik;Tiptronic S;8 ileri;122;520;750;279;4,5;4x4 Cekisli;Var;104;96;4855;1939;1702;2185;670;1780;265/50 R19;19;50%;265;5; Bi-Xenon; Var;5;Kumas & Deri;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Var;118;6;5;-254;21;85377;12,88;15,9;8,9;100;;;;EURO 5;267
Porsche Cayenne 3.6 300 HP Tiptronic S (4x4);SUV;SUV;E;Porsche;Cayenne;Cayenne;Standart;2015, 2016;Almanya;Fosil Yakit;Benzin;Icten Yanmali (Standart);Cift Turbo;6;3598;Cok Noktadan Enjeksiyon;;;;Otomatik;Tiptronic S;8 ileri;74;300;400;230;7,7;4x4 Cekisli;Var;97;96;4855;1939;1705;2040;670;1780;255/55 R18;18;55%;255;5; Bi-Xenon; Var;5;Kumas & Deri;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Yok;117;6;5;32;46;5973;10,27;12,3;7,5;85;;;;EURO 5;215
Porsche Cayenne Turbo S 4.8 570 HP Tiptronic S (4x4);SUV;SUV;E;Porsche;Cayenne;Cayenne;Standart;2015, 2016;Almanya;Fosil Yakit;Benzin;Icten Yanmali (Standart);Cift Turbo;8;4806;Cok Noktadan Enjeksiyon;;;;Otomatik;Tiptronic S;8 ileri;131;570;800;284;4,1;4x4 Cekisli;Var;100;96;4855;1939;1705;2235;670;1705;255/55 R18;18;55%;255;5; Bi-Xenon; Var;5;Kumas & Deri;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Yok;118;6;5;-253;19;85377;12,88;15,9;8,9;100;;;;EURO 5;267
Porsche Cayenne S 3.6 420 HP Tiptronic S (4x4);SUV;SUV;E;Porsche;Cayenne;Cayenne S;Standart;2014, 2015, 2016;Almanya;Fosil Yakit;Benzin;Icten Yanmali (Standart);Cift Turbo;6;3604;Cok Noktadan Enjeksiyon;;;;Otomatik;Tiptronic S;8 ileri;99;420;550;259;5,5;4x4 Cekisli;Var;107;96;4855;1939;1705;2085;670;1780;275/45 R20;20;45%;275;5; Bi-Xenon; Var;5;Kumas & Deri;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Yok;117;6;5;25;41;5973;10,89;13;8;85;;;;EURO 5;229
Porsche Cayenne S Diesel 4.2 385 HP Tiptronic S (4x4);SUV;SUV;E;Porsche;Cayenne;Cayenne S;Standart;2015, 2016;Almanya;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;8;4134;Common Rail Direkt Enjeksiyon;;;;Otomatik;Tiptronic S;8 ileri;110;385;850;252;5,4;4x4 Cekisli;Var;100;96;4855;1939;1705;2290;670;1780;255/55 R18;18;55%;255;5; Bi-Xenon; Var;5;Kumas & Deri;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Yok;119;6;5;-232;32;85377;8,8;10;7;85;;;;EURO 5;209
Porsche Cayenne S Dizel 4.2 385 HP Tiptronic S (4x4);SUV;SUV;E;Porsche;Cayenne;Cayenne S Dizel;Standart;2014;Almanya;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;8;4134;Common Rail Direkt Enjeksiyon;;;;Otomatik;Tiptronic S;8 ileri;111;385;850;252;5,4;4x4 Cekisli;Var;108;96;4855;1939;1705;2215;670;1780;275/45 R20;20;45%;275;5; Bi-Xenon; Var;5;Kumas & Deri;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Yok;118;6;5;-235;32;85377;8,8;10;7;85;;;;EURO 5;209
Volkswagen CC 1.4 TSI BMT 160 PS DSG;Binek;Sedan;D;Volkswagen;CC;Cc;Standart;2015;Almanya;Fosil Yakit;Benzin;Icten Yanmali (Standart);Turbo;4;1390;Elektronik Dogrudan Enjeksiyon;;;;Otomatik;DSG (YO);7 ileri;60;160;240;222;8,5;Onden Cekisli;Var;78;76;4802;1855;1421;1531;532;Koltuklar Katlanmiyor;235/45 R17;17;45%;235;5; Halojen; Var;5;Kumas;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Var;110;6;5;71;76;3661;6,63;7,7;5,1;70;;;;EURO 5;140
Volkswagen CC 2.0 TDI BMT 140 PS DSG;Binek;Sedan;D;Volkswagen;CC;Cc;Standart;2015;Almanya;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1968;Common Rail Direkt Enjeksiyon;;;;Otomatik;DSG (YO);6 ileri;59;140;320;212;9,8;Onden Cekisli;Var;78;76;4802;1855;1421;1564;532;Koltuklar Katlanmiyor;235/45 R17;17;45%;235;5; Halojen; Var;5;Kumas;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Var;111;6;5;51;72;10613;5,33;5,9;4,4;70;;;;EURO 5;131
Volkswagen CC 2.0 TDI BMT 177 PS DSG;Binek;Sedan;D;Volkswagen;CC;Cc;Standart;2015;Almanya;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1968;Common Rail Direkt Enjeksiyon;;;;Otomatik;DSG (YO);6 ileri;68;177;380;220;8,4;Onden Cekisli;Var;78;76;4802;1855;1421;1582;532;Koltuklar Katlanmiyor;235/45 R17;17;45%;235;5; Halojen; Var;5;Kumas;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Var;111;6;5;50;71;10613;5,48;6,1;4,5;70;;;;EURO 5;133
Volkswagen CC 2.0 TSI 211 PS DSG;Binek;Sedan;D;Volkswagen;CC;Cc;Standart;2015;Almanya;Fosil Yakit;Benzin;Icten Yanmali (Standart);Turbo;4;1984;Elektronik Dogrudan Enjeksiyon;;;;Otomatik;DSG (YO);6 ileri;68;211;280;238;7,6;Onden Cekisli;Var;78;76;4802;1855;1421;1535;532;Koltuklar Katlanmiyor;235/45 R17;17;45%;235;5; Halojen; Var;5;Kumas;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Var;110;6;5;37;69;10613;8,67;10,8;5,9;70;;;;EURO 5;179
Kia Ceed 1.6 CRDi 128 PS Otomatik Premium;Binek;Hatchback;C;Kia;Ceed;Ceed;Premium;2015;Guney Kore;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1582;Common Rail Direkt Enjeksiyon;;;;Otomatik; Tork Konvertorlu;6 ileri;53;128;260;190;11,7;Onden Cekisli;Var;73;68;4310;1780;1470;1385;380;1318;225/45 R17;17;45%;225;5;LED;Var;5;Kumas;Elektronik;Manuel;Otomatik Klima;Var;Var;Var;Var;108;6;5;75;76;3661;6,07;7,2;4,5;53;;;;EURO 5;145
Kia Ceed 1.6 CRDi 136 PS DCT Premium;Binek;Hatchback;C;Kia;Ceed;Ceed;Premium;2015, 2016, 2017;Guney Kore;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1582;Common Rail Direkt Enjeksiyon;;;;Otomatik;DCT (YO);7 ileri;59;136;300;197;10,2;Onden Cekisli;Var;73;68;4310;1780;1470;1289;380;1318;205/55 R17;17;55%;205;5;LED;Var;5;Kumas;Elektronik;Manuel;Otomatik Klima;Var;Var;Var;Var;108;6;5;81;75;3661;4,29;4,7;3,6;53;;;;EURO 5;104
Kia Ceed 1.6L 135 PS DCT Otomatik Concept;Binek;Hatchback;C;Kia;Ceed;Ceed 1,6L;Concept;2014;Guney Kore;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;4;1591;Cok Noktadan Enjeksiyon;;;;Otomatik;DCT (YO);6 ileri;51;135;164;195;10,8;Onden Cekisli;Var;68;68;4310;1780;1470;1301;380;1318;205/55 R16;16;55%;205;5; Halojen; Var;5;Kumas;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Yok;108;6;5;73;75;3661;6,69;8;4,9;53;;;;EURO 5;140
Kia Ceed 1.6L Dizel 128 PS Concept;Binek;Hatchback;C;Kia;Ceed;Ceed 1,6L Dizel;Concept;2014;Guney Kore;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1582;Common Rail Direkt Enjeksiyon;;;;Manuel;Manuel;6 ileri;55;128;260;197;10,9;Onden Cekisli;Var;69;68;4310;1780;1470;1375;380;1318;205/55 R16;16;55%;205;5; Bi-LED; Var;5;Kumas;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Yok;108;6;5;84;83;3661;4,66;5,2;3,8;53;;;;EURO 5;114
Kia Ceed 1.6L Dizel 128 PS Concept Plus;Binek;Hatchback;C;Kia;Ceed;Ceed 1,6L Dizel;Concept Plus;2014;Guney Kore;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1582;Common Rail Direkt Enjeksiyon;;;;Manuel;Manuel;6 ileri;55;128;260;197;10,9;Onden Cekisli;Var;73;68;4310;1780;1470;1375;380;1318;225/45 R17;17;45%;225;5; Halojen; Var;5;Kumas;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Var;108;6;5;82;83;3661;4,66;5,2;3,8;53;;;;EURO 5;114
Kia Ceed 1.6L Dizel 128 PS Otomatik Concept;Binek;Hatchback;C;Kia;Ceed;Ceed 1,6L Dizel;Concept;2014;Guney Kore;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1582;Common Rail Direkt Enjeksiyon;;;;Otomatik; Tork Konvertorlu;6 ileri;53;128;260;190;11,7;Onden Cekisli;Var;68;68;4310;1780;1470;1385;380;1318;225/45 R16;16;45%;225;5; Halojen; Var;5;Kumas;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Yok;108;6;5;76;76;3661;6,07;7,2;4,5;53;;;;EURO 5;145
Kia Ceed 1.6L Dizel 128 PS Otomatik Concept Plus;Binek;Hatchback;C;Kia;Ceed;Ceed 1,6L Dizel;Concept Plus;2014;Guney Kore;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1582;Common Rail Direkt Enjeksiyon;;;;Otomatik; Tork Konvertorlu;6 ileri;53;128;260;190;11,7;Onden Cekisli;Var;73;68;4310;1780;1470;1385;380;1318;225/45 R17;17;45%;225;5; Halojen; Var;5;Kumas;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Var;108;6;5;75;76;3661;6,07;7,2;4,5;53;;;;EURO 5;145
Kia Ceed 1.6L Dizel 128 PS Otomatik Premium;Binek;Hatchback;C;Kia;Ceed;Ceed 1,6L Dizel;Premium;2014;Guney Kore;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1582;Common Rail Direkt Enjeksiyon;;;;Otomatik; Tork Konvertorlu;6 ileri;53;128;260;190;11,7;Onden Cekisli;Var;73;68;4310;1780;1470;1385;380;1318;225/45 R17;17;45%;225;5; Halojen; Var;5;Kumas;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Var;108;6;5;75;76;3661;6,07;7,2;4,5;53;;;;EURO 5;145
Kia Ceed Sportywagon 1.6 128 PS Concept;Binek;Station Wagon;C;Kia;Ceed;Ceed Sportywagon;Concept;2015;Guney Kore;Fosil Yakit;Dizel;Icten Yanmali (Standart);Degisken Geometrili Turbo;4;1582;Common Rail Direkt Enjeksiyon;;;;Manuel;Manuel;6 ileri;54;128;260;193;11,2;Onden Cekisli;Var;71;71;4505;1780;1485;1420;528;1642;205/55 R16;16;55%;205;5; Halojen; Var;5;Kumas;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Yok;109;6;5;83;83;3661;4,81;5,3;4;53;;;;EURO 5;117
Kia Ceed Sportywagon 1.6 128 PS Concept Plus;Binek;Station Wagon;C;Kia;Ceed;Ceed Sportywagon;Concept Plus;2015;Guney Kore;Fosil Yakit;Dizel;Icten Yanmali (Standart);Degisken Geometrili Turbo;4;1582;Common Rail Direkt Enjeksiyon;;;;Manuel;Manuel;6 ileri;54;128;260;193;11,2;Onden Cekisli;Var;76;71;4505;1780;1485;1420;528;1642;205/55 R17;17;55%;205;5; Halojen; Var;5;Kumas;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Var;109;6;5;81;83;3661;4,81;5,3;4;53;;;;EURO 5;117
Kia Ceed Sportywagon 1.6 128 PS Otomatik Concept;Binek;Station Wagon;C;Kia;Ceed;Ceed Sportywagon;Concept;2015;Guney Kore;Fosil Yakit;Dizel;Icten Yanmali (Standart);Degisken Geometrili Turbo;4;1582;Common Rail Direkt Enjeksiyon;;;;Otomatik; Tork Konvertorlu;6 ileri;52;128;260;185;12,1;Onden Cekisli;Var;71;71;4505;1780;1485;1441;528;1642;205/55 R16;16;55%;205;5; Halojen; Var;5;Kumas;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Yok;109;6;5;74;76;3661;6,28;7,5;4,6;53;;;;EURO 5;149
Kia Ceed Sportywagon 1.6 128 PS Otomatik Concept Plus;Binek;Station Wagon;C;Kia;Ceed;Ceed Sportywagon;Concept Plus;2015;Guney Kore;Fosil Yakit;Dizel;Icten Yanmali (Standart);Degisken Geometrili Turbo;4;1582;Common Rail Direkt Enjeksiyon;;;;Otomatik; Tork Konvertorlu;6 ileri;52;128;260;185;12,1;Onden Cekisli;Var;76;71;4505;1780;1485;1441;528;1642;205/55 R17;17;55%;205;5; Halojen; Var;5;Kumas;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Var;109;6;5;73;76;3661;6,28;7,5;4,6;53;;;;EURO 5;149
Kia Ceed Sportywagon 1.6 128 PS Otomatik Premium;Binek;Station Wagon;C;Kia;Ceed;Ceed Sportywagon;Premium;2015;Guney Kore;Fosil Yakit;Dizel;Icten Yanmali (Standart);Degisken Geometrili Turbo;4;1582;Common Rail Direkt Enjeksiyon;;;;Otomatik; Tork Konvertorlu;6 ileri;52;128;260;185;12,1;Onden Cekisli;Var;76;71;4505;1780;1485;1441;528;1642;205/55 R17;17;55%;205;5; Halojen; Var;5;Kumas;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Var;109;6;5;73;76;3661;6,28;7,5;4,6;53;;;;EURO 5;149
Kia Ceed Sportywagon 1.6 136 PS DCT Premium;Binek;Station Wagon;C;Kia;Ceed;Ceed Sportywagon;Premium;2015;Guney Kore;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1582;Common Rail Direkt Enjeksiyon;;;;Otomatik;DCT (YO);7 ileri;57;136;300;200;10,6;Onden Cekisli;Var;75;71;4505;1780;1485;1441;528;1642;225/45 R17;17;45%;225;5;LED;Var;5;Kumas;Elektronik;Manuel;Otomatik Klima;Var;Var;Var;Var;109;6;5;80;75;3661;4,39;4,6;3,9;53;;;;EURO 5;109
Kia Ceed Sportywagon 1.6 CRDi 136 PS DCT Premium;Binek;Station Wagon;C;Kia;Ceed;Ceed Sportywagon;Premium;2016, 2017;Guney Kore;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1582;Common Rail Direkt Enjeksiyon;;;;Otomatik;DCT (YO);7 ileri;58;136;300;197;10,9;Onden Cekisli;Var;73;71;4505;1780;1485;1341;528;1642;225/45 R17;17;45%;225;5;LED;Var;5;Kumas;Elektronik;Manuel;Otomatik Klima;Var;Var;Var;Var;108;6;5;81;75;3661;4,39;4,6;3,9;53;;;;EURO 6;109
Toyota C-HR 1.8 Hybrid 122 PS e-CVT Flame;SUV;SUV;B;Toyota;C-HR;C-Hr;Flame;2019, 2020, 2021, 2022, 2023;Japonya;Fosil Yakit;Benzin & Elektrik;HEV (Benzinli & Elektrikli);Atmosferik;4;1798;EFI (Elektronik Yakit Puskurtme);;;;Otomatik;e-CVT;Kademesiz;53;122;305;170;11;Onden Cekisli;Var;82;74;4390;1795;1555;1495;297;1160;225/50 R18;18;50%;225;5;LED;Var;5;Kumas;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Var;115;7;5;86;74;1712;3,83;4,2;3,2;43;;;;EURO 6;86
Toyota C-HR 1.8 Hybrid 122 PS e-CVT Passion;SUV;SUV;B;Toyota;C-HR;C-Hr;Passion;2019, 2020, 2021, 2022, 2023;Japonya;Fosil Yakit;Benzin & Elektrik;HEV (Benzinli & Elektrikli);Atmosferik;4;1798;EFI (Elektronik Yakit Puskurtme);;;;Otomatik;e-CVT;Kademesiz;53;122;305;170;11;Onden Cekisli;Var;82;74;4390;1795;1555;1495;297;1160;225/50 R18;18;50%;225;5;LED;Var;5;Kumas;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Var;115;7;5;86;74;1712;3,83;4,2;3,2;43;;;;EURO 6;86
Toyota C-HR 1.8 Hybrid 122 PS e-CVT Passion X-Pack;SUV;SUV;B;Toyota;C-HR;C-Hr;Passion X-Pack;2019, 2020, 2021, 2022, 2023;Japonya;Fosil Yakit;Benzin & Elektrik;HEV (Benzinli & Elektrikli);Atmosferik;4;1798;EFI (Elektronik Yakit Puskurtme);;;;Otomatik;e-CVT;Kademesiz;53;122;305;170;11;Onden Cekisli;Var;82;74;4390;1795;1555;1495;297;1160;225/50 R18;18;50%;225;5;LED;Var;5;Kumas;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Var;115;7;5;86;74;1712;3,83;4,2;3,2;43;;;;EURO 6;86
Honda Civic 1.5 VTEC Turbo 182 PS Otomatik Executive+;Binek;Sedan;C;Honda;Civic;Civic;Executive+;2022, 2023;Japonya;Fosil Yakit;Benzin;Icten Yanmali (Standart);Turbo;4;1498;PGM-FI (Direkt Enjeksiyon);;;;Otomatik;CVT;Kademesiz;62;182;240;200;8,1;Onden Cekisli;Var;75;71;4677;1802;1407;1389;512;Koltuklar Katlanmiyor;215/50 R17;17;50%;215;5;LED;Var;5;Deri;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Var;109;6;5;53;74;8421;7,03;7,8;5,8;47;;;;EURO 6.2;151
Honda Civic 1.5 VTEC Turbo ECO 129 PS Otomatik Executive+;Binek;Sedan;C;Honda;Civic;Civic;Executive+;2022, 2023;Japonya;Fosil Yakit;Benzin & LPG;Icten Yanmali (Standart);Turbo;4;1498;PGM-FI (Direkt Enjeksiyon);;;;Otomatik;CVT;Kademesiz;51;129;180;200;10,5;Onden Cekisli;Var;74;71;4677;1802;1407;1375;512;Koltuklar Katlanmiyor;215/50 R17;17;50%;215;5;LED;Var;5;Deri;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Var;109;6;5;55;76;8421;6,95;8,2;5,2;47;;;;EURO 6.2;148
Honda Civic Sedan 1.5 182 PS CVT RS;Binek;Sedan;C;Honda;Civic;Civic Sedan;RS;2019;Japonya;Fosil Yakit;Benzin;Icten Yanmali (Standart);Turbo;4;1498;PGM-FI (Direkt Enjeksiyon);;;;Otomatik;CVT;Kademesiz;61;182;220;200;8,1;Onden Cekisli;Var;78;71;4648;1799;1407;1388;519;Koltuklar Katlanmiyor;235/40 R18;18;40%;235;5;LED;Var;5;Deri & Kumas;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Var;84;6;4;62;74;6314;6,33;7,5;4,7;46;;;;EURO 6;130
Honda Civic Sedan 1.5 182 PS Elegance;Binek;Sedan;C;Honda;Civic;Civic Sedan;Elegance;2019, 2020;Japonya;Fosil Yakit;Benzin;Icten Yanmali (Standart);Turbo;4;1498;PGM-FI (Direkt Enjeksiyon);;;;Manuel;Manuel;6 ileri;62;182;220;210;8;Onden Cekisli;Var;74;71;4658;1799;1407;1352;519;Koltuklar Katlanmiyor;215/50 R17;17;50%;215;5;LED;Var;5;Deri & Kumas;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Var;83;6;4;67;81;6314;6,01;7;4,6;46;;;;EURO 6.2;125
Honda Civic Sedan 1.5 182 PS Otomatik Elegance;Binek;Sedan;C;Honda;Civic;Civic Sedan;Elegance;2019, 2020, 2021;Japonya;Fosil Yakit;Benzin;Icten Yanmali (Standart);Turbo;4;1498;PGM-FI (Direkt Enjeksiyon);;;;Otomatik;CVT;Kademesiz;61;182;220;200;8,2;Onden Cekisli;Var;75;71;4658;1799;1407;1388;519;Koltuklar Katlanmiyor;215/50 R17;17;50%;215;5;LED;Var;5;Deri & Kumas;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Var;84;6;4;63;74;6314;6,33;7,5;4,7;46;;;;EURO 6.2;130
Honda Civic Sedan 1.5 182 PS Otomatik Executive+;Binek;Sedan;C;Honda;Civic;Civic Sedan;Executive+;2019, 2020, 2021;Japonya;Fosil Yakit;Benzin;Icten Yanmali (Standart);Turbo;4;1498;PGM-FI (Direkt Enjeksiyon);;;;Otomatik;CVT;Kademesiz;61;182;220;200;8,2;Onden Cekisli;Var;75;71;4658;1799;1407;1388;519;Koltuklar Katlanmiyor;215/50 R17;17;50%;215;5;LED;Var;5;Deri & Kumas;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Var;84;6;4;63;74;6314;6,33;7,5;4,7;46;;;;EURO 6.2;130
Mercedes CLA 180d 1.5 109 PS 7G-DCT AMG;Binek;Sedan;Premium D;Mercedes-Benz;CLA;Cla 180D;AMG;2016, 2017, 2018;Almanya;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1461;Common Rail Direkt Enjeksiyon;;;;Otomatik;7G-DCT (YO);7 ileri;52;109;260;205;11,6;Onden Cekisli;Var;79;71;4640;1777;1432;1465;470;1375;225/40 R18;18;40%;225;5; LED; Var;5;Kumas & Deri;Elektronik;Elektronik;Otomatik Klima;Var;Var;Var;Var;114;7;5;79;77;3661;4,44;4,7;3,9;56;;;;EURO 6;109
